POZO,DEPTH,Unidad,X,Y,CALI,Core_GrnDn,Core_Kmax,Core_Por,Core_k_vert,GR,GR_Core,KLogs2,KTim,PEF,PHID,PHIE,PHIE1,PHIN,ResD,ResM,ResS,RHOB,Ro,RT,SwA,Vshl,Vshl1,FZI
Jacana-24,10531.94,Arena Guadalupe,1147601.84,974788.61,8.6905,2.63,5.0286,0.143,NaN,50.2309,49.0657,281.3954,203.9723,1.9126,0.142,0.1535,0.1344,0.1974,40.639,34.7194,28.3108,2.4071,43.6409,40.639,1,0.1075,0.2186,1.11591203
Jacana-24,10532.36,Arena Guadalupe,1147601.84,974788.61,8.6783,2.64,0.0839,0.092,NaN,50.6172,49.0743,394.7217,306.0783,2.0398,0.1532,0.1632,0.1434,0.2072,35.8534,30.9429,26.9297,2.3888,41.2408,35.8534,1,0.1042,0.213,0.295947541
Jacana-24,10533.44,Arena Guadalupe,1147601.84,974788.61,8.7345,2.64,0.8084,0.126,NaN,55.0542,49.0491,74.0344,25.5149,2.301,0.0985,0.1205,0.087,0.2253,36.9306,33.2346,28.564,2.4784,26.9387,36.9306,0.7824,0.3069,0.4997,0.551694196
Jacana-24,10535.3,Arena Guadalupe,1147601.84,974788.61,9.0513,2.98,0.0002,0.012,NaN,97.4179,93.6995,2.6371,0.0024,1.9487,0.0456,0.0658,0.0365,0.2472,40.4746,32.0839,34.6405,2.5652,16.7747,40.4746,0.4441,0.6296,0.7947,0.333756492
Jacana-24,10535.83,Arena Guadalupe,1147601.84,974788.61,8.9918,2.62,0.0005,0.049,NaN,85.5965,85.4084,29.7853,6.0219,2.0196,0.0797,0.1022,0.0667,0.238,40.1687,34.8727,33.6839,2.5092,21.9109,40.1687,0.5995,0.4243,0.6239,0.061560345
Jacana-24,10537.37,Arena Guadalupe,1147601.84,974788.61,8.9453,2.61,0.3301,0.033,NaN,99.587,100.8731,44.5591,12.0016,2.1086,0.0855,0.1099,0.0758,0.2269,42.8858,39.1022,33.6777,2.4999,24.7145,42.8858,0.6366,0.359,0.5576,2.910100413
Jacana-24,10539.4,Arena Guadalupe,1147601.84,974788.61,8.9304,2.61,0.2067,0.031,NaN,107.7475,102.8262,31.1405,6.8569,2.2213,0.078,0.103,0.0686,0.2306,46.302,44.2223,36.3648,2.5121,22.9875,46.302,0.5535,0.4016,0.6016,2.534434797
Jacana-24,10540.46,Arena Guadalupe,1147601.84,974788.61,8.9454,2.64,0.0039,0.077,NaN,100.7771,116.9385,49.0491,14.2545,2.2288,0.087,0.1118,0.0784,0.2232,36.7215,29.8576,29.6862,2.4973,25.714,36.7215,0.7511,0.3398,0.5369,0.084708612
Jacana-24,10541.12,Arena Guadalupe,1147601.84,974788.61,8.9787,2.63,0.0894,0.121,NaN,76.8587,87.7941,47.7142,13.1732,2.3125,0.0874,0.1113,0.0771,0.2278,46.2637,39.0742,37.439,2.4967,24.8137,46.2637,0.6002,0.3549,0.5533,0.196069132
Jacana-24,10541.76,Arena Guadalupe,1147601.84,974788.61,8.906,2.63,0.6235,0.14,NaN,62.1757,62.8614,21.8081,0.0382,2.5963,0.0784,0.0966,0.0604,0.2491,37.6918,28.8765,29.8702,2.5114,20.0164,37.6918,0.5808,0.4771,0.6728,0.407056107
Jacana-24,10542.66,Arena Guadalupe,1147601.84,974788.61,8.9392,2.63,0.056,0.116,NaN,71.8879,67.7463,2.649,0.0024,2.4094,0.0415,0.0659,0.0368,0.2411,45.9538,41.0841,36.6056,2.572,17.0774,45.9538,0.4002,0.6191,0.7872,0.166260447
Jacana-24,10547.44,Arena Guadalupe,1147601.84,974788.61,8.9408,2.63,2.9582,0.146,NaN,69.5902,75.8445,34.5288,7.3362,1.8474,0.084,0.1049,0.0689,0.2406,36.3435,31.8533,30.1313,2.5023,21.9939,36.3435,0.658,0.4176,0.6174,0.826745808
Jacana-24,10547.9,Arena Guadalupe,1147601.84,974788.61,8.9564,2.59,0.9659,0.005,NaN,71.7921,64.7221,42.9446,10.7001,1.6982,0.0866,0.1092,0.0739,0.2341,35.2187,33.0246,29.8431,2.4979,23.4835,35.2187,0.7181,0.3814,0.5811,86.84879664
Jacana-24,10550.62,Arena Guadalupe,1147601.84,974788.61,8.9987,2.63,0.1846,0.122,NaN,74.0197,75.6072,63.271,20.0887,2.2491,0.0945,0.1171,0.0832,0.2266,37.8441,33.5513,31.2857,2.4851,26.0586,37.8441,0.7444,0.3254,0.5208,0.277971497
Jacana-24,10551.84,Arena Guadalupe,1147601.84,974788.61,8.8526,2.58,0.2685,0.01,NaN,77.2043,66.5904,35.0836,8.2161,2.1161,0.0806,0.1052,0.0708,0.2301,39.6736,34.9415,32.7109,2.5079,23.4299,39.6736,0.6454,0.3894,0.5893,16.10782815
Jacana-24,10553.14,Arena Guadalupe,1147601.84,974788.61,9.0722,2.58,0.0001,0.005,NaN,78.0729,81.4476,20.0851,0.0421,2.456,0.0659,0.0951,0.0622,0.224,37.7919,33.7375,31.7338,2.532,22.56,37.7919,0.6436,0.4238,0.6234,0.883685487
Jacana-24,10554.14,Arena Guadalupe,1147601.84,974788.61,8.9553,2.63,0.0627,0.101,NaN,73.6879,66.8341,15.0674,0.03,2.2035,0.0563,0.0903,0.059,0.2144,41.1493,36.9991,34.5128,2.5477,22.9794,41.1493,0.6035,0.4239,0.6235,0.220212035
Jacana-24,10556.1,Arena Guadalupe,1147601.84,974788.61,9.4634,2.63,2.1794,0.143,NaN,77.5245,88.3025,786.1812,744.5437,1.8205,0.1789,0.1849,0.1691,0.2165,43.9899,39.8907,36.923,2.3466,40.7164,43.9899,0.9571,0.0689,0.1483,0.734640534
Jacana-24,10557.44,Arena Guadalupe,1147601.84,974788.61,9.2472,2.63,23.56,0.177,NaN,51.2231,79.7178,2225.7605,2541.8879,1.9911,0.2203,0.2233,0.2045,0.2574,53.7969,48.0735,43.2807,2.2788,31.0453,53.7969,0.7369,0.068,0.1465,1.684446519
Jacana-24,10558.4,Arena Guadalupe,1147601.84,974788.61,8.8907,2.63,239.2545,0.218,NaN,36.9594,40.7165,522.1457,307.4368,2.6514,0.1665,0.1717,0.1318,0.2719,81.118,67.3361,62.3826,2.3669,25.0157,81.118,0.4317,0.2386,0.4155,3.731485155
Jacana-24,10559,Arena Guadalupe,1147601.84,974788.61,8.8145,2.63,105.9889,0.194,NaN,47.4879,36.2208,191.0018,70.5689,2.6232,0.1377,0.1431,0.1003,0.2741,78.9585,71.0667,59.1898,2.4141,22.2317,78.9585,0.3674,0.3404,0.5376,3.049244769
Jacana-24,10560.24,Arena Guadalupe,1147601.84,974788.61,8.9162,2.67,4.765,0.167,NaN,44.5069,42.5807,1112.3236,1060.8953,2.0265,0.1912,0.1969,0.175,0.2406,81.3779,72.6712,56.4735,2.3264,33.8604,81.3779,0.5933,0.0941,0.1949,0.836626073
Jacana-24,10560.8,Arena Guadalupe,1147601.84,974788.61,8.8966,2.64,861.8161,0.243,NaN,35.2701,31.8955,1870.4052,2141.8901,2.0449,0.2132,0.2163,0.2019,0.2424,119.081,108.2924,75.6658,2.2904,34.5,119.081,0.5022,0.0522,0.1153,5.82536871
Jacana-24,10561.5,Arena Guadalupe,1147601.84,974788.61,9.0704,2.64,7.87,0.154,NaN,30.8604,28.0432,1714.8795,1957.8741,1.735,0.2098,0.213,0.2002,0.236,124.2719,111.2886,77.5934,2.2959,36.1725,124.2719,0.5062,0.0463,0.1032,1.23312271
Jacana-24,10561.78,Arena Guadalupe,1147601.84,974788.61,9.0129,2.64,122.5136,0.203,NaN,30.7252,28.7165,2733.751,3550.5574,1.6579,0.2303,0.2317,0.2242,0.2445,99.5363,90.2134,67.1998,2.2624,34.3071,99.5363,0.5725,0.0241,0.0559,3.028559172
Jacana-24,10562.4,Arena Guadalupe,1147601.84,974788.61,9.0303,2.64,915.4092,0.244,NaN,28.1743,26.7612,3620.7241,5096.3979,1.8079,0.2433,0.2438,0.2407,0.2489,81.3742,74.4125,63.1598,2.241,33.2189,81.3742,0.6343,0.0092,0.0219,5.959013105
Jacana-24,10562.92,Arena Guadalupe,1147601.84,974788.61,8.9868,2.63,401.5239,0.243,NaN,30.7494,25.6853,2827.4719,3813.6477,1.6685,0.2326,0.2332,0.2304,0.2377,93.1112,91.5022,66.6671,2.2586,36.0767,93.1112,0.6176,0.0085,0.0203,3.97623293
Jacana-24,10563.34,Arena Guadalupe,1147601.84,974788.61,9.1553,2.63,161.2515,0.214,NaN,31.8165,27.6454,1952.0316,2355.7598,1.8118,0.2158,0.218,0.2091,0.2337,171.6492,204.5461,102.8379,2.286,37.049,171.6492,0.4388,0.0307,0.0703,3.16579957
Jacana-24,10563.94,Arena Guadalupe,1147601.84,974788.61,9.2671,2.64,121.0315,0.195,NaN,32.0653,27.7887,1554.9773,1667.4052,1.8222,0.2051,0.2092,0.1917,0.2421,358.3025,325.6284,217.9865,2.3036,34.2555,358.3025,0.2448,0.0676,0.1458,3.229407275
Jacana-24,10564.53,Arena Guadalupe,1147601.84,974788.61,9.1056,2.63,185.9021,0.202,NaN,29.6699,28.6668,3542.9067,5059.9189,1.7316,0.243,0.2429,0.2429,0.2428,302.6957,268.1828,216.0496,2.2415,34.6474,302.6957,0.3383,0,0,3.763116236
Jacana-24,10565.15,Arena Guadalupe,1147601.84,974788.61,8.969,2.63,4132.1987,0.264,NaN,26.103,24.9959,5678.3916,8820.0664,1.6152,0.2696,0.2646,0.2646,0.2594,265.0287,266.4046,225.5689,2.1978,29.6297,265.0287,0.3344,0,0,10.95196811
Jacana-24,10565.74,Arena Guadalupe,1147601.84,974788.61,8.961,2.63,2074.3833,0.254,NaN,28.2129,22.564,4980.8413,7558.1919,1.6561,0.2598,0.2584,0.2584,0.2569,308.4744,270.9414,273.3952,2.2139,30.9461,308.4744,0.3167,0,0,8.334170948
Jacana-24,10566.3,Arena Guadalupe,1147601.84,974788.61,8.9684,2.63,1471.8325,0.215,NaN,30.0749,23.9871,3524.897,4923.6245,1.6963,0.242,0.2427,0.2391,0.2484,482.1171,495.7152,454.9672,2.243,33.3279,482.1171,0.2522,0.0106,0.0252,9.4857311
Jacana-24,10566.93,Arena Guadalupe,1147601.84,974788.61,8.9538,2.63,1828.7256,0.226,NaN,24.7528,24.8144,4000.8938,5838.9927,1.8202,0.2559,0.2483,0.2483,0.2405,293.5355,345.8227,292.4216,2.2204,33.2783,293.5355,0.3367,0,0,9.673468512
Jacana-24,10568.93,Arena Guadalupe,1147601.84,974788.61,8.8516,2.63,9607.6201,0.282,NaN,22.3484,28.7727,3647.4438,5149.415,1.5903,0.2437,0.2442,0.2413,0.2487,422.4659,434.2311,322.1113,2.2404,33.2442,422.4659,0.2723,0.0083,0.0199,14.75666917
Jacana-24,10569.84,Arena Guadalupe,1147601.84,974788.61,9.0527,2.64,259.0193,0.207,NaN,23.1079,24.1992,2944.1584,4068.5105,1.6627,0.2455,0.2349,0.2349,0.2238,223.947,175.6034,185.6012,2.2374,36.8413,223.947,0.4056,0,0,4.255135359
Jacana-24,10571.24,Arena Guadalupe,1147601.84,974788.61,8.8417,2.63,4946.082,0.245,NaN,38.0807,29.2602,826.4458,777.8322,2.1181,0.1804,0.1866,0.1693,0.2214,92.1594,127.6111,84.6783,2.3442,39.0582,92.1594,0.6039,0.0759,0.1616,13.748589
Jacana-24,10572.19,Arena Guadalupe,1147601.84,974788.61,8.8451,2.63,4473.5083,0.221,NaN,53.4315,52.7492,52.0775,16.1041,2.2456,0.0878,0.1131,0.0805,0.2191,158.3944,167.4709,111.9873,2.4961,26.7417,158.3944,0.2165,0.3226,0.5177,15.74718099
Jacana-24,10572.96,Arena Guadalupe,1147601.84,974788.61,8.9936,2.64,0.4555,0.128,NaN,65.7617,63.4366,22.8233,0.0512,1.9884,0.0685,0.0974,0.0643,0.2235,238.9088,230.6295,172.9134,2.5276,23.0159,238.9088,0.1184,0.411,0.6109,0.403529574
Jacana-24,10575.04,Arena Guadalupe,1147601.84,974788.61,8.9329,2.63,1828.6914,0.243,NaN,27.5724,32.3347,854.4857,858.1402,2.3394,0.1831,0.1877,0.176,0.2104,96.6236,82.9688,89.5899,2.3397,43.5775,96.6236,0.6408,0.0483,0.1074,8.485673712
Tarotaro-3,9660.8,Arena Guadalupe,1162545.28,983619.86,8.2361,2.632,8.17,0.147,NaN,48.1543,14.32,164.2368,107.7835,1.9145,0.1256,0.1392,0.1217,0.1818,47.5364,39.3426,21.2045,2.434,25.6917,60.6196,0.6461,0.109,0.2213,1.358356313
