POZO,DEPTH,Unidad,X,Y,CALI,Core_GrnDn,Core_Kmax,Core_Por,Core_k_vert,GR,GR_Core,KLogs2,KTim,PEF,PHID,PHIE,PHIE1,PHIN,ResD,ResM,ResS,RHOB,Ro,RT,SwA,Vshl,Vshl1,FZI
Jacana Sur-1,10092.3,Arena Guadalupe,1148751.74,975765.68,8.808,2.64,280.236,0.212,NaN,33.1154,23.86,1860.9396,1564.7826,1.9541,0.2186,0.2161,0.1742,0.3061,144.6975,116.6501,63.0186,2.2815,34.9178,144.6975,0.3439,0.1874,0.3451,4.243400633
Jacana Sur-1,10093.3,Arena Guadalupe,1148751.74,975765.68,8.6179,2.643,532.725,0.232,NaN,33.3034,20.61,2500.1685,2348.2974,1.9635,0.2305,0.228,0.1882,0.309,161.6375,119.0242,63.1063,2.262,36.2706,161.6375,0.3375,0.1635,0.3095,4.980929902
Jacana Sur-1,10094.1,Arena Guadalupe,1148751.74,975765.68,8.5601,2.641,24.813,0.137,NaN,32.9723,17.68,1713.6791,1286.6639,1.9435,0.2199,0.2129,0.1653,0.3213,220.6454,156.4331,71.2231,2.2793,31.071,220.6454,0.2092,0.2265,0.3995,2.661945937
Jacana Sur-1,10095,Arena Guadalupe,1148751.74,975765.68,8.858,2.643,975.121,0.255,NaN,37.0131,18.58,1754.3359,1354.0829,2.368,0.2197,0.2138,0.1675,0.3179,152.0434,116.4943,61.6044,2.2797,31.8759,152.0434,0.298,0.2174,0.3872,5.672897085
Jacana Sur-1,10096.7,Arena Guadalupe,1148751.74,975765.68,8.8035,2.642,25.399,0.154,NaN,61.4346,51.03,254.4347,67.8952,1.9426,0.1805,0.1507,0.0961,0.3458,88.7075,68.1882,53.5663,2.344,20.9183,88.7075,0.2778,0.4536,0.6515,2.215272921
Jacana Sur-1,10098.3,Arena Guadalupe,1148751.74,975765.68,8.3678,2.64,326.07,0.216,NaN,34.9055,22.27,1671.9717,1290.6306,1.9816,0.2168,0.212,0.1665,0.3138,137.0196,106.7019,58.0065,2.2845,32.4434,137.0196,0.3299,0.214,0.3825,4.428131463
Jacana Sur-1,10098.8,Arena Guadalupe,1148751.74,975765.68,8.7283,2.638,60.983,0.175,NaN,52.315,19.26,252.1681,77.7374,2.1375,0.1663,0.1505,0.0993,0.3216,122.668,98.8657,56.6347,2.3673,22.9215,122.668,0.2238,0.4122,0.6121,2.76331832
Jacana Sur-1,10101.4,Arena Guadalupe,1148751.74,975765.68,8.2526,2.649,NaN,0.244,491.8519,24.8521,24.21,3101.4331,3012.823,1.9763,0.2417,0.2371,0.1953,0.321,199.5098,153.4357,63.0941,2.2436,34.7202,199.5098,0.2789,0.1654,0.3125,NaN
Jacana Sur-1,10101.8,Arena Guadalupe,1148751.74,975765.68,8.2785,2.64,529.356,0.239,NaN,27.4568,14.69,3367.595,3648.8188,1.9545,0.2417,0.2407,0.2067,0.3048,244.1753,180.6566,65.7314,2.2435,39.7795,244.1753,0.2813,0.125,0.2484,4.705343934
Jacana Sur-1,10103.8,Arena Guadalupe,1148751.74,975765.68,8.3939,2.647,936.238,0.251,NaN,22.2252,9.37,3341.2009,3487.4766,1.9838,0.2428,0.2403,0.2031,0.3122,518.7783,284.1945,86.7549,2.2419,37.5015,518.7783,0.1396,0.1406,0.2738,5.722608238
Jacana Sur-1,10105.3,Arena Guadalupe,1148751.74,975765.68,8.345,2.641,358.164,0.223,NaN,34.6693,13.66,5481.3677,6415.1816,2.0145,0.2678,0.2629,0.2248,0.3325,211.6174,163.47,74.9696,2.2009,35.5219,211.6174,0.2967,0.1292,0.2553,4.384644004
Jacana Sur-1,10107.3,Arena Guadalupe,1148751.74,975765.68,8.5264,2.643,687.081,0.239,NaN,27.0267,30.6,3068.2976,2871.8545,1.9039,0.2431,0.2366,0.1921,0.3279,217.2548,176.189,63.9377,2.2414,33.0797,217.2548,0.2456,0.18,0.3343,5.360699005
Jacana Sur-1,10111.4,Arena Guadalupe,1148751.74,975765.68,8.4793,2.645,1254.423,0.24,NaN,26.4972,19.07,3540.8616,3797.0806,1.9253,0.245,0.2429,0.2068,0.3115,295.2594,229.4907,85.8842,2.2382,38.1248,295.2594,0.2317,0.1334,0.2622,7.188667259
Jacana Sur-1,10113.5,Arena Guadalupe,1148751.74,975765.68,8.707,2.644,0.022,0.068,NaN,50.0527,22.09,1091.618,840.9395,2.072,0.1935,0.1962,0.1586,0.2799,162.0414,137.0498,76.5147,2.3227,38.1135,162.0414,0.3263,0.1844,0.3407,0.244789921
Jacana Sur-1,10114.95,Arena Guadalupe,1148751.74,975765.68,8.6065,2.64,595.562,0.214,NaN,25.533,26.09,1426.4513,1155.505,1.9225,0.2055,0.206,0.1667,0.2915,318.3352,241.9268,93.821,2.303,36.845,318.3352,0.1803,0.1834,0.3391,6.084081512
Jacana Sur-1,10116,Arena Guadalupe,1148751.74,975765.68,8.622,2.644,594.658,0.207,NaN,22.7589,12.69,2267.4287,2523.7922,2.0219,0.2211,0.224,0.202,0.2647,626.7565,351.5659,114.4061,2.2774,52.4093,626.7565,0.1778,0.0814,0.1719,6.447345594
Jacana Sur-1,10116.7,Arena Guadalupe,1148751.74,975765.68,8.5085,2.645,780.44,0.205,NaN,25.2093,9.43,2129.7249,2245.9751,2.0384,0.2187,0.2215,0.1953,0.2712,699.2498,406.5714,125.0334,2.2814,48.2865,699.2498,0.141,0.1009,0.2071,7.513386761
Jacana Sur-1,10116.9,Arena Guadalupe,1148751.74,975765.68,8.4884,2.642,NaN,0.202,365.5665,26.136,9.33,2104.1304,2175.5283,2.0495,0.2184,0.221,0.1932,0.2744,737.5283,443.5101,133.945,2.2819,46.6714,737.5283,0.1274,0.1088,0.2209,NaN
Jacana Sur-1,10117.5,Arena Guadalupe,1148751.74,975765.68,8.4428,2.643,743.033,0.2,NaN,23.0716,7.61,2534.2959,2980.5881,1.9541,0.226,0.2286,0.2101,0.2617,664.4341,457.8815,139.1165,2.2694,55.6879,664.4341,0.1922,0.0651,0.1408,7.655590463
Jacana Sur-1,10119.7,Arena Guadalupe,1148751.74,975765.68,8.3074,2.639,2262.5659,0.196,NaN,28.689,7.31,3318.2847,4267.0513,1.9162,0.2382,0.24,0.2259,0.2641,352.5356,271.836,211.3121,2.2493,58.0596,352.5356,0.3395,0.0456,0.1018,13.83892031
Jacana Sur-1,10120.6,Arena Guadalupe,1148751.74,975765.68,8.3196,2.637,11989.001,0.255,NaN,35.43,10.96,3556.5774,4491.3457,1.8948,0.2414,0.2431,0.2247,0.2746,225.7766,170.9372,143.3041,2.244,52.7724,225.7766,0.4121,0.06,0.1309,19.89148233
Jacana Sur-1,10122.3,Arena Guadalupe,1148751.74,975765.68,8.6484,2.646,2.47,0.152,NaN,52.6814,32.48,1003.8363,693.0155,2.0039,0.1935,0.1933,0.1507,0.2933,79.0163,58.6075,30.0432,2.3227,33.7888,79.0163,0.5211,0.2222,0.3936,0.706168913
Jacana Sur-1,10123.4,Arena Guadalupe,1148751.74,975765.68,8.4113,2.641,NaN,0.119,0.01268234,49.8592,38.17,594.1008,358.6775,2.0859,0.1719,0.1757,0.135,0.2771,95.0957,66.7865,34.9979,2.358,34.1011,95.0957,0.4384,0.2378,0.4145,NaN
Jacana Sur-1,10123.5,Arena Guadalupe,1148751.74,975765.68,8.3973,2.64,0.063,0.045,NaN,48.1803,38.17,559.9532,331.6064,2.0973,0.1698,0.1739,0.1332,0.276,100.8195,70.1246,36.6781,2.3616,33.947,100.8195,0.4138,0.2412,0.4188,0.78846882
